nom,station_id,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Evron,J132401001,Yes,"{'sy': 0.0001, 'hk': 4.8696752516586e-06}",0.9507965539711418,0.9396325082450454,0.9428465889621606
Gouet,J151301001,Yes,"{'sy': 0.01, 'hk': 3.651741272548361e-06}",0.9173665319473472,0.9002193542609139,0.8968137153988582
Maudouve,J152401001,Yes,"{'sy': 0.01, 'hk': 1.938652635952203e-06}",0.7601444856735552,0.7427713574267576,0.845511544556447
Trieux_StPever,J171171001,Yes,"{'sy': 0.01, 'hk': 4.940262207658563e-06}",0.8980081370612241,0.8900446457787878,0.9147985628858244
Trieux_StClet,J172172001,Yes,"{'sy': 0.01, 'hk': 5.787619883491161e-06}",0.8704533239089589,0.8640049496440739,0.9155831811723805
Leff_Quemper,J181301001,Yes,"{'sy': 0.01, 'hk': 1.259208527890224e-06}",0.8658027419904266,0.8530622177898678,0.8836364548259232
Jaudy,J202301001,Yes,"{'sy': 0.01, 'hk': 4.340102636447412e-06}",0.8315672826565343,0.8353800034321559,0.9104984269098174
Guindy,J203401001,No,"{'sy': None, 'hk': None}",,,
Guic,J221311001,Yes,"{'sy': 0.01, 'hk': 1.7782794100389005e-05}",0.8619181933487008,0.8821197558904841,0.8347321297362441
Leguer_BelleIsle,J223301001,Yes,"{'sy': 0.01, 'hk': 5.0118723362726885e-06}",0.9250388134331542,0.9315551996417584,0.9337310474143804
Yar,J231491001,Yes,"{'sy': 0.01, 'hk': 4.482935599839208e-06}",0.9193783452282178,0.9375155768110622,0.9440045673515265
Douron,J240401001,Yes,"{'sy': 0.010495, 'hk': 7.607640819262632e-06}",0.9290992081629998,0.955440785234977,0.9559984346509749
Dourduff,J251401001,Yes,"{'sy': 0.01, 'hk': 8.53591339291357e-06}",0.8245945243878777,0.8466873842102857,0.890260611532956
Jarlot_Plougonven,J260301001,Yes,"{'sy': 0.01, 'hk': 4.186730439856228e-06}",0.8733684661960075,0.8676384019487813,0.6850417414192886
Tromorgant,J260541001,Yes,"{'sy': 0.01, 'hk': 8.659643233600562e-06}",0.9204112238423682,0.91836622169555,0.943366274167099
Queffleuth,J261401002,No,"{'sy': 0.01, 'hk': 1.13828234525402e-05}",0.6329649265033203,0.9447029053896194,
Penze,J272301001,Yes,"{'sy': 0.01, 'hk': 1.2232071190499174e-05}",0.9039621551253638,0.8843485066679423,0.8530657856218347
Horn,J301433001,Yes,"{'sy': 0.031285, 'hk': 1.2956866975170042e-05}",0.8907585091006289,0.936489660825176,0.9691303980247279
34246.16597867012
